url,act_name,street,city,state,zip,phone
http://www.automerchants.com,Auto Merchants Inc,(469) 429-4008,,TX,75093,(469) 429-4008
http://www.antiochgenesis.com,Antioch Genesis,(Located at Antioch Hyundai) 1810-B Auto Center Drive,Antioch,CA,94509,(888) 409-5082
http://www.balisegenesisspringfield.com,Balise Genesis,(Located at Balise Hyundai) 683 E. Columbus Ave.,Springfield,MA,1105,(888) 620-8015
http://www.buerklegenesis.com,Buerkle Genesis,(Located at Buerkle Hyundai) 3350 N. Highway 61,White Bear Lake,MN,55110,(877) 326-5015
http://www.capitolgenesis.com,Capitol Genesis,(Located at Capitol Hyundai) 1050-A Capitol Exprssway Automall,San Jose,CA,95136,(866) 957-5039
http://www.deanteam.com,Dean Team Automotive,(Located at Dean Team Hyundai) 14754 Manchester Road,Ballwin,MO,63011,(866) 961-1692
http://www.elgingenesis.com,Elgin Genesis,(Located at Elgin Hyundai) 1200 E. Chicago Street,Elgin,IL,60120,(888) 238-4705
http://www.gregmaygenesis.com,Greg May Genesis,(Located at Greg May Hyundai) 1501 W. Loop 340,Waco,TX,76712,(844) 327-7930
http://www.hardingenesis.net,Hardin Genesis,(Located at Hardin Hyundai) 1271 Auto Center Drive,Anaheim,CA,92806,(866) 977-8948
http://www.genesisserramonte.com,Genesis of Serramonte,(Located at Hyundai of Serramonte) 1500 Collins Ave,Colma,CA,94014,(877) 466-7698
http://www.jerrysgenesis.net,Jerry's Genesis,(Located at Jerry's Hyundai) 3403 Ft Worth Highway,Weatherford,TX,76087,(844) 846-6215
http://www.machensgenesis.com,Joe Machens Genesis,(Located at Joe Machens Hyundai) 1300 Vandiver Drive,Columbia,MO,65202,(866) 983-6473
http://www.mcgrathgenesis.net,McGrath City Genesis,(Located at McGrath City Hyundai) 6750 W. Grand Avenue,Chicago,IL,60707,(877) 490-4896
http://www.napletonsvalleygenesis.com,Napleton's Valley Genesis,(Located at Napleton's Valley Hyundai) 4333 Ogden Avenue,Aurora,IL,60504,(866) 984-0792
http://www.paramusgenesis.net,Paramus Genesis,(Located at Paramus Hyundai) 234 Route 4 East,Paramus,NJ,7652,(888) 319-8453
