Random_number,url,act_name,street,city,state,zip,phone
1,classictoyotatyler.com,Classic Toyota of Tyler,1717 W SW Loop 323,Tyler,TX,75701,(903) 581-0600
1,rickfordsales.com,Rick Ford Sales,111 E Saginaw St,Hemlock,MI,48626,(989) 642-5261
1,precisionfordonline.com,Precision Ford,945 N Main St,Lillington,NC,27546,(888) 290-1903
1,morlandodgechryslerjeep.com,Morlan Chrysler,374 Siemers Dr,Cape Girardeau,MO,63701,(877) 280-3115
1,catalanomotors.com,Catalano Motors Inc,8327 Erie Rd,Angola,NY,14006,(716) 549-1300
1,menardauto.com,Menard Auto Sales,19 Main St,Ruma,IL,62278,(888) 859-5188
1,rokstadford.com,Rokstad Ford,476600 US-95,Ponderay,ID,83852,(888) 298-9475
1,klauto.net,K & L Auto Sales,11958 Renovo Rd,Renovo,PA,17764,(570) 923-0722
1,pointenj.com,Pointe Buick GMC,91 N Virginia Ave,Penns Grove,NJ,8069,(856) 514-0872
1,peckkia.com,Pat Peck Kia,10611 Boney Ave,D'Iberville,MS,39540,(888) 834-0397
1,dixonautosales.com,Belvidere Motors Inc,1201 N State St,Belvidere,IL,61008,(815) 544-0341
1,unitedcarfinance.com,United Auto Group,5906 Airport Blvd,Austin,TX,78752,(512) 374-4944
1,yorkgm.com,York Chevrolet Buick GMC Truck,1501 Indianapolis Rd,Greencastle,IN,46135,(765) 280-4270
1,korfcontinentallincoln.com,Korf Continental Lincoln,622 W 1st St,Julesburg,CO,80737,(888) 729-3083
1,volvocarsoffayetteville.com,Volvo Cars of Fayetteville,2925 Cliffdale Road,Fayetteville,NC,28314,(877) 962-2658
1,thomassenford.net,Thomassen Ford,100 S West St,Charles Town,WV,25414,(304) 725-7031
1,vwgallery.com,Volkswagen Gallery,1280 Providence Hwy,Norwood,MA,2062,(888) 459-6014
1,fletchernissanstore.com,Fletcher Nissan,2327 S Rangeline Rd,Joplin,MO,64804,(417) 622-0405
1,billseidlemitsubishi.com,Bill Seidles Mitsubishi,2900 NW 36th St,Miami,FL,33142,(305) 635-9000
1,kenlyfordinc.com,Kenly Ford,500 S Gardner Ave,Kenly,NC,27542,(888) 801-8095
1,savagechrysler.com,Savage L & B Dodge Chrysler Jeep RAM,1 Big Spring Road,Robesonia,PA,19551,(888) 484-0504
1,carlandservice.com,Carland Service Center,11300 State Bridge Road,Alpharetta,GA,30022,(888) 284-1921
1,donovanbauer.com,Donovan and Bauer Auto Group,11579 Hydetown Rd,Titusville,PA,16354,(814) 827-1881
1,green-nissan.com,Green Nissan,2505 US Hwy 2 E,Kalispell,MT,59901,(406) 755-2277
1,byerlysautomart.com,Byerly's Auto Mart,1757 Anderson Hwy,Powhatan,VA,23139,(804) 379-8900
1,bobboyddodge.com,Bob-Boyd Chrysler Jeep Dodge Ram,2810 N Columbus St,Lancaster,OH,43130,(877) 803-0502
1,pacificauto.net,Pacific Auto Inc,1495 Grass Valley Hwy,Auburn,CA,95603,(530) 888-1515
1,hurdautomall.com,Hurd Auto Mall,1705 Hartford Ave,Johnston,RI,2919,(401) 751-6000
1,capitolsubaru.com,Capitol Subaru of Salem,3235 Cherry Ave NE,Salem,OR,97301,(888) 698-1973
1,teamhyundaimd.com,Team Hyundai,22514 Three Notch Rd,Lexington Park,MD,20653,(301) 862-9150
1,luxuryimportsky.com,luxury imports auto sales,7456 Burlington Pike,Florence,KY,41042,(859) 746-2277
1,machaiknissan.com,Mac Haik Nissan,5650 I-35E,Corinth,TX,76210,(940) 270-9000
1,chesrown.com,Chesrown Chevrolet Buick GMC,1701 Columbus Pike,Delaware,OH,43015,(740) 363-1175
1,santeeford.net,Santee Automotive,2601 Paxville Hwy,Manning,SC,29102,(888) 277-6352
1,townsedge.com,Town's Edge Auto,1801 3rd Ave,Mountain Lake,MN,56159,(507) 427-3789
1,seabreezeford.com,Seabreeze Ford,1701 NJ-35,Wall Township,NJ,7719,(888) 570-3423
1,simshonda.com,2017 Sims Honda.,1615 S Goldenrod Rd,Burlington,WA,98233,(800) 745-7467
1,dodgechryslerjeepcity.net,Dodge Chrysler Jeep City,4395 US-130,Burlington,NJ,8016,(877) 689-6755
1,plainfieldusedcars.com,Dan Pfeiffer Plainfield Used Cars,4140 Plainfield Ave NE,Grand Rapids,MI,49525,(616) 419-3343
1,adobeautosales.com,"Adobe Auto Sales, Inc.",4711 Avenue Q,Lubbock,TX,79412,(806) 687-2362
1,cherryhillnissan.com,Cherry Hill Nissan,2325 Rte 38,Cherry Hill,NJ,8002,(856) 656-2515
1,redbankvolvocars.com,Red Bank Volvo Cars,100 Newman Springs Rd E,Red Bank,NJ,7701,(888) 478-9202
1,sewelltoyota.com,Sewell Toyota of Wichita Falls,2213 Old Jacksboro Hwy,Wichita Falls,TX,76301,(940) 322-7283
1,mikedumangm.com,Mike Duman Chevrolet Buick GMC,1201 Armory Dr,Franklin,VA,23851,(757) 304-8962
1,caintoyota.com,Cain Toyota,6527 Whipple Ave NW,North Canton,OH,44720,(800) 589-2246
1,toyotaofboerne.com,Toyota Of Boerne,31205 Interstate 10 Frontage Rd,Boerne,TX,78006,(888) 311-6058
1,westboroughbuickgmc.com,Westborough Buick GMC,150 Turnpike Rd,Westborough,MA,1581,(508) 366-8787
1,yorkchryslerdodgejeepram.com,York Dodge Chrysler Jeep RAM,500 Prescott Lakes Pkwy,Prescott,AZ,86301,(928) 433-3925
1,hausautogroup.com,Haus Auto Group,4141 Boardman-Canfield Rd,Canfield,OH,44406,(330) 702-0000
1,burientoyota.com,Burien Toyota,15025 1st Avenue South,Burien,WA,98148,(206) 243-0700
1,lulingchevrolet.com,Carroll Barron's Luling Chevrolet Buick GMC,1088 E Pierce St,Luling,TX,78648,(830) 875-5425
1,wrightmotorsinc.com,Wright Motors Inc,809 W McPherson Hwy,Clyde,OH,43410,(419) 547-9900
1,audiannapolis.com,Audi Annapolis,1833 West St,Annapolis,MD,21401,(888) 856-6463
1,lacostaautocenter.com,Fast Auto Sales,1177 Saviers Rd,Oxnard,CA,93033,(805) 486-7088
1,lithiadodgesantarosa.com,Lithia Chrysler Dodge Jeep Ram FIAT of Santa Rosa,2727 Dowd Dr,Santa Rosa,CA,95407,(888) 855-3761
1,collegewayauto.com,College Way Auto Sales & Service,1796 College Way,Fergus Falls,MN,56537,(218) 739-5426
1,landroverorlando.com,Land Rover Orlando,199 S Lake Destiny Dr,Orlando,FL,32810,(866) 711-2723
1,shoretoyota.com,Shore Toyota,4236 Black Horse Pike,Mays Landing,NJ,8330,(888) 819-5346
1,criswellchevroletofthurmont.com,Criswell Chevrolet of Thurmont,111 Frederick Rd,Thurmont,MD,21788,(240) 252-2589
1,masseymotorsmalvern.com,Massey Motors,571 Martin Luther King Blvd,Malvern,AR,72104,(501) 332-3384
1,bishopgmccadillac.com,"Bishop GMC Cadillac, Inc.",400 Mackinaw Ave,Cheboygan,MI,49721,(231) 627-5669
1,arapahoehyundai.com,Arapahoe Hyundai,9899 E Arapahoe Rd,Centennial,CO,80112,(877) 856-6848
1,larsonmitsubishi.com,Larson Mitsubishi,7629 S Tacoma Way,Tacoma,WA,98409,(253) 671-6522
1,cioccahonda.com,Ciocca Honda,8001 Allentown Blvd,Harrisburg,PA,17112,(717) 901-4700
1,buddenhagensford.net,Buddenhagen's Ford,4332 State Rt 17B,Hortonville,NY,12745,(845) 887-4640
1,bmwsf.com,BMW of San Francisco,1675 Howard St,SF,CA,94103,(415) 692-4025
1,castlerockjackson.com,Castlerock Jackson,665 W Elk Ave,Jackson Hole Wyoming,WY,83001,(888) 786-0374
1,baxtersubaru.com,Baxter Subaru,908 N 102nd St,Omaha,NE,68114,(877) 856-5265
1,grabiak.com,Grabiak Chevrolet,8282 US-22,New Alexandria,PA,15670,(724) 668-2231
1,greenwich.mclaren.com,McLaren Greenwich,348 West Putnam Avenue,Greenwich,CT,6830,(203) 542-9100
1,mbofsmithtown.com,Mercedes-Benz of Smithtown,630 Middle Country Rd,St James,NY,11780,(877) 862-7343
1,wetzelhonda.com,Wetzel Honda,3505 Chester Blvd,Richmond,IN,47374,(765) 966-7000
1,socalautowholesale.com,So Cal Auto Wholesale,5826 Lankershim Blvd,North Hollywood,CA,91601,(818) 505-3332
1,toyotaonwestern.com,Toyota on Western,6941 S Western Ave,Chicago,IL,60636,(888) 450-3441
1,bettenford.com,Tony Betten and Sons Ford,3839 Plainfield Ave NE,Grand Rapids,MI,49525,(888) 846-8587
1,toyotaoforlando.com,Toyota Of Orlando,3575 Vineland Rd,Orlando,FL,32811,(888) 725-3520
1,glavanfordofcc.com,Glavan Ford of Clay Center,811 5th St,Clay Center,KS,67432,(866) 447-4221
1,christiesclassicautos.com,"Christie's Classic Auto, LLC",50559 287th Ave,Elgin,MN,55932,(507) 289-3237
1,sylvaniaford.net,Sylvania Ford,301 By Pass,Sylvania,GA,30467,(800) 241-5451
1,expresswaymitsubishi.com,Expressway Mitsubishi,5511 E Indiana St,Evansville,IN,47715,(866) 437-9750
1,lundgrenhondaofgreenfield.com,Lundgren Honda of Greenfield,409 Federal St,Greenfield,MA,1301,(888) 596-0344
1,regalkia.com,Regal Kia,1025 Bartow Rd,Lakeland,FL,33801,(863) 588-4031
1,southwestvolkswagen.com,Charlie Gilchrist's SouthWest Volkswagen,2951 Fort Worth Hwy,Weatherford,TX,76087,(877) 885-0052
1,bergheger.com,Brent Bergheger Chrysler Dodge Jeep Ram,220 W Main St,Mascoutah,IL,62258,(888) 817-4941
1,dchvwoffreehold.com,DCH Volkswagen of Freehold,4360 US 9,Freehold,NJ,7728,(888) 349-7421
1,butchoustaletmazda.com,Butch Oustalet Mazda,15150 Airport Rd,Gulfport,MS,39503,(855) 750-1503
1,orlandpark.mercedesdealer.com,Mercedes-Benzof Orland Park,8430 W 159th St,Orland Park,IL,60462,(844) 836-6648
1,buycbb.com,Certified Benz & Beemer,6725 E McDowell Rd,Scottsdale,AZ,85257,(480) 659-7999
1,bobruthford.com,Bob Ruth Ford Inc,700 North US RT 15,Dillsburg,PA,17019,(877) 818-1593
1,autonationchryslerdodgejeepramhouston.com,AutoNation Chrysler Dodge Jeep Ram Houston,1515 S Loop W,Houston,TX,77054,(713) 489-7825
1,stevemarshfordsales.com,Steve Marsh Ford,12415 S 1st St,Milan,TN,38358,(731) 686-7461
1,michigancitykarmart.com,Kar Mart,3502 E Michigan Blvd,Michigan City,IN,46360,(219) 879-5411
1,groovemazda.com,Groove Mazda,10301 E Arapahoe Rd,Englewood,CO,80112,(720) 633-9592
1,fernandezhonda.com,2017 Fernandez Honda.,8015 Interstate 35 Access Rd,San Antonio,TX,78224,(210) 880-9085
1,actonford.com,Acton Ford Inc,76 Powder Mill Rd,Acton,MA,1720,(888) 706-7997
1,carhop.com,CarHop,5417 Lakeland Ave N,Crystal,MN,55429,(800) 600-7013
1,alwestnissan.com,Al West Nissan,2540 N Bishop Ave,Rolla,MO,65401,(573) 308-1233
1,bellcollision.com,Bell Collision Center,16809 N. 7th Ave.,Phoenix,AZ,85023,(855) 870-2250
1,westbrookhonda.com,Westbrook Honda,1 Flat Rock Pl,Westbrook,CT,6498,(888) 823-4412
1,bestlincolnnashua.com,Best Ford Lincoln,579 Amherst St,Nashua,NH,3063,(877) 828-5784
1,marketautosalesnj.com,Market Auto Sales,670 Market St,Paterson,NJ,7513,(973) 553-2388
1,marlboronissan.com,2017 Marlboro Nissan.,740 Boston Post Rd E,Marlboro,MA,1752,(508) 573-5392
1,litchfieldchryslercenter.com,Litchfield Chrysler Center,640 East Hwy 12,Litchfield,MN,55355,(888) 765-7358
1,allensamuelsoxford.com,Allen Samuels CDJR of Oxford,2201 University Ave,Oxford,MS,38655,(888) 864-0073
1,cooperauto.com,Cooper Auto Sales and Rentals,9158 WA-525,Clinton,WA,98236,(360) 341-2949
1,carlhoganhonda.com,Carl Hogan Honda,3621 US-45,Columbus,MS,39705,(662) 328-8236
1,timshortlincoln.com,Tim Short Ford Lincoln,107 Rockwood Ln,Hazard,KY,41701,(888) 313-8321
1,gageauto.com,Gage Auto Sales Inc,13432 SE McLoughlin Blvd,Portland,OR,97222,(503) 652-0006
1,chicagovintage.com,Chicago Vintage Motor Carriage,700 S Desplaines St,Chicago,IL,60607,(312) 697-1103
1,feltsmotorco.com,Rusel Felts Motor Company,15505 Capital Port,San Antonio,TX,78249,(210) 408-1110
1,spradleybarrmazda.com,Spradley Barr Mazda Fort Collins,2601 S College Ave,Fort Collins,CO,80525,(970) 266-2310
1,mayfieldnissan.com,Ganley's Mayfield Nissan,6060 Mayfield Rd,Mayfield Heights,OH,44124,(888) 484-7210
1,bogguslincoln.com,Boggus Lincoln McAllen,1301 E Expy 83,McAllen,TX,78501,(888) 276-4963
1,friendshipcars.com,Friendshipcars.com,1848 E Stone Dr,Kingsport,TN,37660,(423) 246-3821
1,midlandshonda.com,Midlands Honda,124 Killian Commons Pkwy,Columbia,SC,29203,(888) 695-5814
1,ramtruckandautosales.com,RAM Truck and Auto Sales LLC,1580 S Ronald Reagan Blvd,Longwood,FL,32750,(407) 831-6033
1,larrygreenchevrolet.com,Larry Green Chevrolet,2050 E Rodeo Dr,Cottonwood,AZ,86326,(928) 208-4675
