url,act_name,street,city,state,zip,phone
stanleykaufman.net,Stanley Chevrolet Kaufman,825 E Fair St,Kaufman,TX,75142,(888) 457-4391
leepartyka.com,Lee Partyka Chevrolet Mazda Isuzu Truck,200 Skiff St,Hamden,CT,6518,(203) 288-7761
burienhonda.com,"Honda of Burien15026 1st Avenue South, Burien, WA 98148",15026 1st Avenue South,Burien,WA,98148,(206) 246-9700
cortlandchryslerdodgejeep.com,Cortland Chrysler Dodge Jeep RAM,3878 West Rd,Cortland,NY,13045,(877) 279-3113
imperialmotors.net,Imperial Motors,4839 Virginia Beach Blvd,Virginia Beach,VA,23462,(757) 490-3651
liatoyotaofnorthampton.com,"Lia Toyota of Northampton280 King St. Northampton, MA 01060Phone413-341-5299",280 King St,Northampton,MA,1060,(413) 341-5299
nelsonhallchevrolet.com,Nelson Hall Chevrolet,1811 S Frontage Rd,Meridian,MS,39301,(601) 621-4593
marshallfordco.com,Marshall Ford Co Inc.,14843 MS-16,Philadelphia,MS,39350,(888) 461-7643
warrentontoyota.com,Warrenton Toyota,6449 Lee Hwy,Warrenton,VA,20187,(540) 878-4100
toyotacertifiedatcentralcity.com,"Toyota Certified Central City",4800 Chestnut St,Philadelphia,PA,19139,(888) 379-1155
rockcitychrysler.com,Rock City Chrysler Jeep Dodge,520 Rock City St,Little Valley,NY,14755,(866) 414-1024
eddinsford.com,Eddins Ford Inc.,2895 S Seminole Trail,Madison,VA,22727,(888) 348-0661
lithiasubarufresno.com,Lithia Subaru of Fresno,5499 N Blackstone Ave,Fresno,CA,93710,(888) 453-5359
nnchevrolet.com,Northern Neck Chevrolet,18175 Kings Hwy,Montross,VA,22520,(804) 368-6547
brewsterhonda.com,"Lia Honda Brewster NY899 Route 22 Brewster, NY 10509Sales845-363-6397Service888-630-7955",899 NY-22,Brewster,NY,10509,(845) 363-6397
tegelerchevrolet.com,Tegeler Chevrolet,17114 Fordtran Blvd,Industry,TX,78944,(979) 357-2575
rochesterhillschryslerjeep.net,Rochester Hills Chrysler Jeep Dodge,1301 S Rochester Rd,Rochester,MI,48307,(248) 841-4094
